,week,time,use,sid,count
18845,2,5,0,50130021,1
18846,2,5,0,50130021,1
18847,2,6,0,50130021,1
18848,2,6,0,50130021,1
18849,2,7,0,50130021,1
18850,2,7,0,50130021,1
18851,2,8,0,50130021,1
18852,2,8,0,50130021,1
18853,2,9,0,50130021,1
18854,2,9,0,50130021,1
18855,2,10,0,50130021,1
18856,2,10,0,50130021,1
18857,2,11,1,50130021,1
18858,2,12,0,50130021,1
18859,2,12,0,50130021,1
18860,2,13,1,50130021,1
18861,2,13,1,50130021,1
18862,2,13,0,50130021,1
18863,2,13,0,50130021,1
18864,2,14,1,50130021,1
18865,2,14,1,50130021,1
18866,2,14,0,50130021,1
18867,2,15,0,50130021,1
18868,2,15,0,50130021,1
18869,2,16,0,50130021,1
18870,2,16,0,50130021,1
18871,2,17,0,50130021,1
18872,2,17,0,50130021,1
18873,2,18,1,50130021,1
18874,2,19,0,50130021,1
18875,2,19,0,50130021,1
18876,2,20,0,50130021,1
18877,2,20,0,50130021,1
18878,2,21,0,50130021,1
18879,2,21,0,50130021,1
18880,2,22,0,50130021,1
18881,2,22,0,50130021,1
18882,2,23,0,50130021,1
18883,2,23,0,50130021,1
18884,3,0,0,50130021,1
18885,3,0,0,50130021,1
18886,3,1,0,50130021,1
18887,3,1,0,50130021,1
18888,3,2,0,50130021,1
18889,3,2,0,50130021,1
18890,3,3,0,50130021,1
18891,3,3,0,50130021,1
18892,3,4,0,50130021,1
18893,3,4,0,50130021,1
18894,3,5,0,50130021,1
18895,3,5,0,50130021,1
18896,3,6,0,50130021,1
18897,3,6,0,50130021,1
18898,3,7,0,50130021,1
18899,3,7,0,50130021,1
18900,3,8,0,50130021,1
18901,3,8,0,50130021,1
18902,3,9,0,50130021,1
18903,3,9,0,50130021,1
18904,3,10,0,50130021,1
18905,3,10,0,50130021,1
18906,3,11,0,50130021,1
18907,3,11,0,50130021,1
18908,3,12,1,50130021,1
18909,3,12,1,50130021,1
18910,3,12,1,50130021,1
18911,3,13,0,50130021,1
18912,3,13,0,50130021,1
18913,3,14,0,50130021,1
18914,3,14,0,50130021,1
18915,3,15,0,50130021,1
18916,3,15,0,50130021,1
18917,3,16,0,50130021,1
18918,3,17,0,50130021,1
18919,3,17,0,50130021,1
18920,3,18,0,50130021,1
18921,3,18,0,50130021,1
18922,3,19,0,50130021,1
18923,3,19,0,50130021,1
18924,3,20,0,50130021,1
18925,3,20,0,50130021,1
18926,3,21,0,50130021,1
18927,3,22,0,50130021,1
18928,3,22,0,50130021,1
18929,3,23,0,50130021,1
18930,3,23,0,50130021,1
18931,4,0,0,50130021,1
18932,4,0,0,50130021,1
18933,4,1,0,50130021,1
18934,4,1,0,50130021,1
18935,4,2,0,50130021,1
18936,4,2,0,50130021,1
18937,4,3,0,50130021,1
18938,4,3,0,50130021,1
18939,4,4,0,50130021,1
18940,4,4,0,50130021,1
18941,4,5,0,50130021,1
18942,4,5,0,50130021,1
18943,4,6,0,50130021,1
18944,4,6,0,50130021,1
18945,4,7,0,50130021,1
18946,4,7,0,50130021,1
18947,4,8,0,50130021,1
18948,4,8,0,50130021,1
18949,4,9,0,50130021,1
18950,4,9,0,50130021,1
18951,4,10,0,50130021,1
18952,4,10,0,50130021,1
18953,4,11,0,50130021,1
18954,4,11,0,50130021,1
18955,4,12,0,50130021,1
18956,4,12,0,50130021,1
18957,4,13,0,50130021,1
18958,4,14,0,50130021,1
18959,4,14,0,50130021,1
18960,4,15,0,50130021,1
18961,4,16,0,50130021,1
18962,4,17,0,50130021,1
18963,4,18,0,50130021,1
18964,4,19,0,50130021,1
18965,4,20,0,50130021,1
18966,4,21,0,50130021,1
18967,4,22,0,50130021,1
18968,4,23,0,50130021,1
18969,5,0,0,50130021,1
18970,5,1,0,50130021,1
18971,5,2,0,50130021,1
18972,5,3,0,50130021,1
18973,5,4,0,50130021,1
18974,5,5,0,50130021,1
18975,5,6,0,50130021,1
18976,5,7,0,50130021,1
18977,5,8,0,50130021,1
18978,5,9,0,50130021,1
18979,5,10,0,50130021,1
18980,5,11,0,50130021,1
18981,5,12,0,50130021,1
18982,5,13,0,50130021,1
18983,5,14,0,50130021,1
18984,5,15,0,50130021,1
18985,5,16,0,50130021,1
18986,5,17,0,50130021,1
18987,5,18,0,50130021,1
18988,5,19,0,50130021,1
18989,5,20,0,50130021,1
18990,5,21,0,50130021,1
18991,5,22,0,50130021,1
18992,5,23,0,50130021,1
18993,6,0,0,50130021,1
18994,6,1,0,50130021,1
18995,6,2,0,50130021,1
18996,6,3,0,50130021,1
18997,6,4,0,50130021,1
18998,6,5,0,50130021,1
18999,6,6,0,50130021,1
19000,6,7,0,50130021,1
19001,6,8,0,50130021,1
19002,6,9,0,50130021,1
19003,6,10,0,50130021,1
19004,6,11,0,50130021,1
19005,6,12,0,50130021,1
19006,6,13,0,50130021,1
19007,6,14,0,50130021,1
19008,6,15,0,50130021,1
19009,6,16,0,50130021,1
19010,6,17,0,50130021,1
19011,6,18,0,50130021,1
19012,6,19,0,50130021,1
19013,6,20,0,50130021,1
19014,6,21,0,50130021,1
19015,6,22,0,50130021,1
19016,6,23,0,50130021,1
19017,0,0,0,50130021,1
19018,0,1,0,50130021,1
19019,0,2,0,50130021,1
19020,0,3,0,50130021,1
19021,0,4,0,50130021,1
19022,0,5,0,50130021,1
19023,0,6,0,50130021,1
19024,0,7,0,50130021,1
19025,0,8,0,50130021,1
19026,0,9,0,50130021,1
19027,0,10,0,50130021,1
19028,0,11,0,50130021,1
19029,0,12,0,50130021,1
19030,0,13,1,50130021,1
19031,0,14,1,50130021,1
19032,0,14,1,50130021,1
19033,0,14,0,50130021,1
19034,0,15,0,50130021,1
19035,0,16,0,50130021,1
19036,0,17,0,50130021,1
19037,0,18,0,50130021,1
19038,0,19,0,50130021,1
19039,0,20,0,50130021,1
19040,0,21,0,50130021,1
19041,0,22,0,50130021,1
19042,0,23,0,50130021,1
19043,1,0,0,50130021,1
19044,1,1,0,50130021,1
19045,1,2,0,50130021,1
19046,1,3,0,50130021,1
19047,1,4,0,50130021,1
19048,1,5,0,50130021,1
19049,1,6,0,50130021,1
19050,1,7,1,50130021,1
19051,1,7,0,50130021,1
19052,1,8,1,50130021,1
19053,1,8,0,50130021,1
19054,1,9,0,50130021,1
19055,1,10,0,50130021,1
19056,1,11,0,50130021,1
19057,1,12,0,50130021,1
19058,1,13,1,50130021,1
19059,1,13,0,50130021,1
19060,1,14,0,50130021,1
19061,1,15,0,50130021,1
19062,1,20,1,50130021,1
19063,2,11,0,50130021,1
19064,2,18,0,50130021,1
19065,3,12,0,50130021,1
19066,3,16,1,50130021,1
19067,3,18,1,50130021,1
19068,3,21,1,50130021,1
19069,4,13,1,50130021,1
19070,2,14,1,50130030,1
19071,2,14,0,50130030,1
19072,2,14,0,50130030,1
19073,2,15,1,50130030,1
19074,2,16,0,50130030,1
19075,2,16,0,50130030,1
19076,2,17,0,50130030,1
19077,2,17,0,50130030,1
19078,2,18,0,50130030,1
19079,2,18,0,50130030,1
19080,2,19,0,50130030,1
19081,2,19,0,50130030,1
19082,2,20,0,50130030,1
19083,2,20,0,50130030,1
19084,2,21,0,50130030,1
19085,2,21,0,50130030,1
19086,2,22,0,50130030,1
19087,2,22,0,50130030,1
19088,2,23,0,50130030,1
19089,2,23,0,50130030,1
19090,3,0,0,50130030,1
19091,3,0,0,50130030,1
19092,3,1,0,50130030,1
19093,3,1,0,50130030,1
19094,3,2,0,50130030,1
19095,3,2,0,50130030,1
19096,3,3,0,50130030,1
19097,3,3,0,50130030,1
19098,3,4,0,50130030,1
19099,3,4,0,50130030,1
19100,3,5,0,50130030,1
19101,3,5,0,50130030,1
19102,3,6,0,50130030,1
19103,3,6,0,50130030,1
19104,3,7,0,50130030,1
19105,3,7,0,50130030,1
19106,3,8,0,50130030,1
19107,3,8,0,50130030,1
19108,3,9,0,50130030,1
19109,3,9,0,50130030,1
19110,3,10,0,50130030,1
19111,3,10,0,50130030,1
19112,3,11,0,50130030,1
19113,3,11,0,50130030,1
19114,3,12,0,50130030,1
19115,3,12,0,50130030,1
19116,3,13,0,50130030,1
19117,3,13,0,50130030,1
19118,3,14,0,50130030,1
19119,3,14,0,50130030,1
19120,3,15,0,50130030,1
19121,3,15,0,50130030,1
